club,first_name
1.FC Köln,Florian
1.FC Köln,Timo
Bor. Dortmund,Nico
Bor. Dortmund,Julian
Bor. M'gladbach,Jonas
FC Augsburg,Daniel
FC Augsburg,Arne
FC Schalke 04,Michael
SC Freiburg,Noah
TSG Hoffenheim,Kevin
Union Berlin,Paul
Union Berlin,Kevin
VfB Stuttgart,Florian
VfL Bochum,Philipp
Werder Bremen,Niklas
